,text,embeddings,distances
9,"The Palu and Pütürge segments in the east display a recurrence interval of about 150 years for M 6.8–7.0 earthquakes. The Pazarcık and Amanos segments in the west have recurrence intervals of 237–772 years and 414–917 years, respectively, for M 7.0–7.4 earthquakes. A research paper published by Earth and Planetary Science Letters in 2002 studied stress accumulation and increased seismic hazard along the East Anatolian Fault. The study concluded two sections of the fault with a considerably high potential for future earthquakes. One of these sections was in Elazığ and Bingöl, located between the rupture zones of the 1874 and 1971 earthquakes. The seismic gap ruptured during a Mw  6.1 earthquake in 2010. The 2020 Mw  6.8 earthquake ruptured to the southwest between the 1893/1905 and 1874 earthquakes. Another seismic gap was located in Kahramanmaraş—this 103 km (64 mi) long section—according to the study, believed to last rupture in 1513 has the potential to produce magnitude 7.3 earthquakes.","[ 0.0076341  -0.01935619  0.02026158 ...  0.01589924  0.0083543
 -0.02993282]",0.15102313521139765
12,"It is one of the strongest ever recorded in Turkey, equivalent in magnitude to the 1939 Erzincan earthquake (Mw 7.8). These earthquakes are surpassed only by the larger estimates for the 1668 North Anatolia earthquake. Globally it was the strongest recorded since August 2021.","[ 0.00351225 -0.02612986 -0.0165869  ... -0.00619904  0.01909889
 -0.03211202]",0.15120108905068252
109,"Çen, K. Önder; Bray, Jonathan D.; Frost, J. David; Hortacsu, Ayse; Miranda, Eduardo; Moss, Robb Eric S.; Stewart, Jonathan P. (6 May 2023). February 6, 2023 Türkiye Earthquakes: Report on Geoscience and Engineering Impacts (PDF) (Report) (GEER Associaon Report 082 ed.). Earthquake Engineering Research Institute. doi:10.18118/G6PM34.","[-0.01951155 -0.02989802 -0.01602255 ... -0.00578368  0.01264761
 -0.02118895]",0.1515140436136606
13,"At 10:24 UTC, an earthquake measuring Mww 7.5 according to USGS, Mw 7.6 according to KOERI, or Mw 7.7 according to Geoscope and the GCMT, struck with an epicenter near Ekinözü, 95 km northeast of the M7.8 event. It had a depth of 7.4 km (5 mi) according to the USGS, 5 km (3 mi) by KOERI, and 13 km (8 mi) by Geoscope. The shock was also the result of strike-slip faulting; it had an epicenter north of the previous large earthquake.","[-0.00139372 -0.01383151 -0.01162534 ...  0.00358668  0.00061553
 -0.04515389]",0.15187190048479393
73,"A Mww 5.2 aftershock occurred on 27 February, near Yeşilyurt. It collapsed about 30 buildings in the town. Two people died and 140 others were injured; 12 in serious condition. One fatality and four injuries were attributed to a factory collapse in Kahramanmaraş Province.","[-0.02397197 -0.0095212  -0.0110385  ...  0.01867137 -0.0044525
 -0.02467429]",0.15247998336519608
24,"The second M>7 earthquake initiated on a separate fault known as the Çardak–Sürgü Fault Zone, part of the northern strand of the East Anatolian Fault. The rupture propagated bilaterally along the Çardak segment, continuing eastwards onto the Sürgü segment before continuing eastwards to Malatya along the northeast–southwest trending Doğanşehir Fault Zone. Rupture also propagated towards the southwest along the Çardak segment. The total rupture length was estimated at 160 km (99 mi). The westward-propagating rupture occurred at supershear velocity (maximum 4.8 km (3.0 mi) per second) while the eastward-propagating rupture occurred at subshear velocity (maximum 2.8 km (1.7 mi) per second). The rupture lasted about 35 seconds.","[-0.01164228 -0.00786585 -0.00746439 ...  0.01010449 -0.01407144
 -0.02340704]",0.15401192512523043
78,"At least 105 countries pledged support for victims of the earthquake, including humanitarian aid. More than eleven countries provided teams with search and rescue dogs to locate victims under the debris and monetary support was offered as well.  However, outreach to Syria was ""less enthusiastic"" than that to Turkey, mostly because of the international sanctions on the country and because of government limitations imposed on humanitarian organizations from operating outside areas of their control.","[-0.00746628 -0.01408155 -0.00999271 ... -0.0061532  -0.02440004
 -0.02261824]",0.15461715511985274
68,"At least 100 Afghans were killed by the earthquake in Turkey, mostly refugees who fled the country after the Taliban takeover in August 2021. Among the Lebanese fatalities was an entire family of three in Malatya. Ten Azerbaijanis were killed in Turkey, including four students in Malatya. An Italian family of six, and an entrepreneur also perished. Nineteen students, two teachers and a parent from Northern Cyprus died when the Isias Hotel in Adıyaman collapsed. Seven other Turkish Cypriots died in Hatay and Kahramanmaraş.","[-0.00733357 -0.01392451 -0.00578862 ...  0.00684953  0.00015872
 -0.0373442 ]",0.15467075073248038
53,"In Diyarbakir Province, 8,602 houses were severely damaged or destroyed, and 124,432 others were partially damaged. Additionally, 8,086 buildings were damaged, required demolition or collapsed. Diyarbakır Fortress, a UNESCO World Heritage Site, was also partly destroyed. The adjacent World Heritage Site of Hevsel Gardens and St. George's Church were also damaged. Part of the Galeria complex in Yenişehir, which included a shopping mall and dozens of apartments collapsed, killing 89 and injuring 22.","[-0.01444875 -0.0024298   0.00209127 ... -0.00969254 -0.00680078
 -0.0194251 ]",0.15543599484441428
18,"A source model for the Mww 7.8 earthquake produced by the USGS from observed seismic waves, taking into account preliminary rupture mapping from satellite data, uses three fault segments with individual lengths, widths, strikes and dips of >40 km (25 mi) × 30 km (19 mi), 028°/85° (Segment 1), >175 km (109 mi) × 30 km (19 mi), 060°/85° (Segment 2) and >160 km (99 mi) × 20 km (12 mi), 025°/75° (Segment 3). The mainshock produced a maximum slip of 11.2 m (37 ft) along Segment 2, beneath Sakarya in Kahramanmaraş Province, northeast of the junction where it meets Segment 1. Another zone of large slip estimated at 4.96 m (16.3 ft) occurred further northeast along Segment 2, northwest of Adıyaman.","[ 0.00087267  0.00297624  0.00134635 ...  0.0096367  -0.01094061
 -0.02442113]",0.15658377292249392
20,"Three segments of the EAF were involved in the Mw  7.8 rupture; the Amanos, Pazarcık and Erkenek segments. The earthquake ruptured ~370 km (230 mi) of the EAF, producing a maximum slip of up to ~12 m (39 ft) along the Pazarcık segment. The northern end of the rupture was about 20–30 km (12–19 mi) south of the Mw  6.8 earthquake that struck in 2020. This section of the EAF, the Pütürge segment, between both earthquakes, may represent a seismic gap. The southern segment of the EAF rupture was at its termination, near Antakya. Slip peaked at 12 m (39 ft) from the surface to 7 km (4.3 mi) depth during the Mw  7.7 earthquake; slip was 11 m (36 ft) at the surface. Slip along the fault was compact—mostly confined to within the Çardak Fault; it was also shallower—attenuating from 8–12 km (5.0–7.5 mi). Slip during the Mw  7.8 event extended to 18 km (11 mi) and 12 km (7.5 mi) for the Mw  7.7 event. The Mw  6.4 aftershock that struck Antakya on 20 February had a rupture area of 25 km (16 mi) × 25 km (16 mi) and produced a peak slip of 0.93 m (3 ft 1 in) at 8.3 km (5.2 mi) depth.","[ 0.00164216 -0.01746198 -0.00386571 ...  0.01538123 -0.00951297
 -0.03862308]",0.15669349751493922
80,"President of the European Council Charles Michel and President of the European Commission Ursula von der Leyen announced that the European Union was ready to deliver earthquake assistance in Turkey and Syria. The EU's European Civil Protection Mechanism, in which Turkey participates despite not being a member of the EU, was activated at the request of Turkey. The EU dispatched thirty-one rescue teams and five medical teams from 23 member states to Turkey, committed €3 million and €3.5 million to Turkey and Syria respectively, and announced a donor conference to raise money. The Copernicus Programme was also activated to provide emergency mapping services and other assistance.","[ 0.01589317 -0.02215976 -0.00180498 ...  0.01083989 -0.01403985
 -0.02818637]",0.15697533540999853
28,"Large surface offsets of 6–8 m (20–26 ft) were observed along the Sürgü-Çardak Fault. Along a road west of Gözpınar, the rupture displaced the road left-laterally for 8.6 m (28 ft). The largest maximum surface offset was 10.0–12.6 m (32.8–41.3 ft); one of the largest surface offsets ever observed from an earthquake.","[-0.00464298  0.00415998  0.01546981 ...  0.00511919 -0.00581308
 -0.0507769 ]",0.1585094951217988
76,"Turkey was placed on a ""level four"" alert to request international aid. More than 53,000 Turkish search and rescue personnel were dispatched to the affected provinces. Seventy countries also assisted in these operations. In the first two days, more than 8,000 people were rescued and 380,000 people were relocated to shelters or hotels. An ""air aid corridor"" was established by the Turkish Armed Forces to mobilize search and rescue teams. Poor weather conditions and damaged roads hampered rescue and relief missions. By 19 February, most rescue efforts had concluded except in Hatay and Kahramanmaraş provinces.","[-0.01412874 -0.02687907 -0.00939707 ...  0.01481795 -0.01989422
 -0.01354557]",0.15932550391621203
16,"The Mw  7.8 earthquake had aftershocks distributed along about 350 km (220 mi) of the EAF. A Mww 6.3 aftershock struck near Uzunbağ in Hatay Province on 20 February; the earthquake was the result of oblique-normal faulting. This Mww 6.3 event produced an independent cluster of aftershocks with a similar focal mechanism. Aftershocks from the sequence also occurred in the Gulf of Alexandretta, consistent with a northwest–southeast striking fault that produced the large aftershock. This aftershock occurred because the Mw 7.8 event transferred sufficient on another normal fault sufficient for it to fail.","[-0.01325622 -0.02119119  0.00626956 ...  0.01103792 -0.00165954
 -0.02121799]",0.1594284817929691
43,"In Nurdağı, nearly 2,500 people died and about 50 percent of the houses were badly damaged or destroyed. An additional 30 percent of its building stock received moderate damage. Mass graves were created to bury the overwhelming number of dead. The collapse of one apartment building in the district center killed 150 people. Ninety percent of houses were heavily damaged or destroyed in Sakçagözü, and 256 people died. On 13 February, it was announced that due to the extreme damage observed in Nurdağı, that all buildings in the district would be demolished and rebuilt. In İslahiye, there were 1,368 deaths, over 1,500 injuries and more than 200 destroyed apartments. There were over 130 deaths in Sulumağara; 200 in Altınüzüm; and 300–400 in Keküklü. Six train carriages at a maintenance station overturned, after rockslides obstructed a railroad near Fevzipaşa Railway Station.","[ 1.12313126e-06  7.03020161e-03  6.36130851e-03 ... -6.07122760e-03
 -2.48172935e-02 -1.42242135e-02]",0.15945025863689188
30,"According to Kandilli Observatory, the maximum Mercalli intensity (MMI) of the mainshock was estimated to have reached MMI XI–XII (Extreme) in Antakya and near the epicenter. MMI XI (Extreme) or higher was observed along the fault rupture from the epicenter to Antakya. The MMI also reached IX–X (Violent–Extreme) in Kahramanmaraş and İskenderun, VIII–IX (Severe–Violent) in Malatya and Adıyaman, VII–VIII (Very strong–Severe) in Gaziantep, Kilis, Idlib and Aleppo, and VI–VII (Strong–Very strong) in Adana and Şanlıurfa. The maximum MMI of the second earthquake was XI (Extreme).","[-0.00265208 -0.00552878 -0.00538365 ...  0.00404637 -0.01071891
 -0.02204599]",0.16145485371725954
8,"The EAF has produced large or damaging earthquakes in the past few hundred years along various segments, including the 1789 (M 7.2, Palu), 1795 (M 7.0, Pazarcık), 1866 (M 7.2 Karlıova), 1872 (M 7.2, Amanos), 1874 (M 7.1, Palu), 1875 (M 6.7, Palu), 1893 (M 7.1, Erkenek), 1971 (M6.6, Karlıova) and 2020 (M 6.8, Pütürge) events. Other large historical earthquakes have been tentatively assigned to segments of the EAF, such as the 1114 and 1513 Marash earthquakes, both thought to have ruptured the Pazarcık segment.","[ 0.00100596 -0.02844454  0.0063251  ...  0.02040354  0.00468612
 -0.01883815]",0.1618291879129683
22,"Preliminary analysis based on seismology and observations of surface rupture suggest rupture along a branch of the DST before transitioning onto the EAF where most of the faulting was observed. The initial rupture at the site of the epicenter of the M7.8 shock on the Narlı Fault, the northernmost section of the DST. The fault ruptured unilaterally northwards until it reached the Pazarcık segment of the East Anatolian Fault. Ruptures then continued bilaterally to the northeast and southwest along this segment. This subevent on the Narlı Fault corresponded to a Mw  7.0 earthquake which ruptured for 20 seconds. It had a focal mechanism corresponding to oblique-normal faulting. A preliminary analysis of near-field (within 1 km (0.62 mi) of the fault rupture) seismic records indicates that the initial rupture speed transitioned to supershear after propagating about 19.5 km (12.1 mi) away from the epicenter along the Narlı Fault before it reached the EAF. Back projection suggests the total rupture length was ~560 km (350 mi).","[-0.01040469 -0.00957204 -0.0037366  ...  0.0204653  -0.00363682
 -0.02909459]",0.16308800831404346
44,"In Hatay Province, 13,517 buildings collapsed, 8,162 required demolition and 67,346 were heavily damaged, along with 215,255 houses. The districts of Antakya, Kırıkhan and İskenderun were the most affected. In Antakya, 70 percent of homes and 6,369 buildings collapsed, 3,734 had to be demolished and 21,830 were badly damaged. The runway at Hatay Airport was split and uplifted, causing flight cancellations. The Ankara Metropolitan Municipality completed repairs on the airport on 12 February, allowing its reopening. Two provincial hospitals and a police station were destroyed, and a gas pipeline exploded. The building that housed the assembly of Hatay State was destroyed, as was St. Paul's Church and the Habib'i Neccar Mosque, while damage occurred at the Antakya Synagogue and the Hatay Archaeology Museum. Several dozen buildings in Güzelburç district and nearly every house in the central and Cebrail districts collapsed. Most of the squad and coaching staff of the local football club Hatayspor were initially trapped in the collapse of their headquarters in Antakya before being rescued, with player Christian Atsu and sporting director Taner Savut dying. At least 982 buildings were destroyed, 8,894 others were badly damaged and 943 had to be demolished in Defne. In Reyhanlı, 318 buildings collapsed and 1,661 others were severely damaged or required demolition. In Kumlu, 131 buildings were destroyed, 738 others were severely damaged and 84 others required demolition. At least 58 buildings collapsed and 669 others were badly damaged or had to be demolished in Payas.","[-0.0227881  -0.0082546   0.00023597 ...  0.01225334 -0.01526424
 -0.0093913 ]",0.16339679427201892
40,"In Adana, 12 buildings collapsed in the city center, 23 were badly damaged and 120 were moderately damaged. Three apartments were among the buildings that were destroyed in the city; the collapse of the 14-storey Alpargün Apartment in Çukurova resulted in 96 deaths. Across Adana Province, damage assessments revealed 59 buildings, 1,274 apartments and 2,952 houses were destroyed, severely damaged or required demolition. ","[-0.00502748  0.00099445 -0.00828705 ...  0.00602842 -0.01299279
 -0.02290475]",0.1640440403703599
100,List of earthquakes in 2023,"[-0.00300366 -0.00921511  0.00294877 ... -0.00210479 -0.00072304
 -0.02461937]",0.16477418382832376
71,"The European-Mediterranean Seismological Centre said shaking was felt in Armenia, Egypt, Palestine, Georgia, Greece, Iraq, Jordan, Israel, and Russia. In Iraq, minor damage occurred in some houses and buildings in Erbil, and the city's citadel was severely damaged. In Egypt, tremors were strongly felt in the capital Cairo, and is considered the strongest earthquake felt since 1975. A 20 m (66 ft) crack appeared in the Corniche in Alexandria.","[ 0.00152316 -0.0133835  -0.00121051 ... -0.00236536  0.00349647
 -0.01945976]",0.16558792581481263
17,"The Mw 7.7 earthquake triggered its own aftershock sequence, including two mb 6.0 aftershocks. Aftershocks of the second earthquake continued through at least 9 February. Thousands of aftershocks associated with this earthquake were distributed along an east–west trend corresponding to the Çardak Fault for about 170 km (110 mi).","[-0.01939665 -0.0189071  -0.00402553 ...  0.00187384 -0.01334346
 -0.01937018]",0.16564275458828703
